name,make,model,year,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,exterior_color,interior_color,drivetrain
2024 Jeep Wrangler 4xe Sport,Jeep,Wrangler 4xe,2024,53535,16V GDI DOHC Turbo Hybrid,4,Hybrid,4,8-Speed Automatic,Sport,SUV,4,Anvil Clearcoat,Black,Four-wheel Drive
2023 Dodge Charger SXT,Dodge,Charger,2023,37490,24V MPFI DOHC,6,Gasoline,20,8-Speed Automatic,SXT,Sedan,4,Green,Black,Rear-wheel Drive
2024 Dodge Hornet R/T Plus,Dodge,Hornet,2024,44600,16V GDI DOHC Turbo Hybrid,4,Hybrid,5,6-Speed Automatic,R/T Plus,SUV,4,Blue,Black,All-wheel Drive
2024 Dodge Durango GT,Dodge,Durango,2024,45038,24V MPFI DOHC,6,Gasoline,5,8-Speed Automatic,GT,SUV,4,Vapor Gray,Black,All-wheel Drive
2024 Acura MDX Technology,Acura,MDX,2024,56155,24V GDI SOHC,6,Gasoline,3,10-Speed Automatic,Technology,SUV,4,White,,All-wheel Drive
2024 Jeep Wrangler Rubicon,Jeep,Wrangler,2024,60972,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6,Gasoline,12,Automatic,Rubicon,SUV,4,Granite Crystal Metallic Clearcoat,Black,Four-wheel Drive
2023 Jeep Gladiator Rubicon,Jeep,Gladiator,2023,53796,24V MPFI DOHC,6,Gasoline,0,8-Speed Automatic,Rubicon,Pickup Truck,4,High Velocity Clearcoat,Black,Four-wheel Drive
2024 Volkswagen Taos 1.5T S,Volkswagen,Taos,2024,25311,16V GDI DOHC Turbo,4,Gasoline,9,7-Speed DSGA? Automatic w/ 4MO,1.5T S,SUV,4,Pyrite Silver Metallic,Black,All-wheel Drive
2023 Dodge Charger SXT,Dodge,Charger,2023,35913,24V MPFI DOHC,6,Gasoline,15,8-Speed Automatic,SXT,Sedan,4,Blue,Black,Rear-wheel Drive
2024 INFINITI QX50 LUXE,INFINITI,QX50,2024,48350,"o 2L I-4 port/direct injection, DOHC, variable valve cont",4,Gasoline,3,Variable,LUXE,SUV,4,Slate Gray,Pebble Gray,Front-wheel Drive
2024 Nissan Versa 1.6 SV,Nissan,Versa,2024,21000,16V MPFI DOHC,4,Gasoline,9,Automatic CVT,1.6 SV,Sedan,4,Aspen White,Graphite,Front-wheel Drive
2024 GMC Savana 2500 Work Van,GMC,Savana 2500,2024,44620,"6 gasoline direct injection, variable valve control, regu",6,Gasoline,12,Automatic,Work Van,Cargo Van,3,SILVER,,Rear-wheel Drive
2024 Mercedes-Benz AMG GLE 53 Base,Mercedes-Benz,AMG GLE 53,2024,90995,24V GDI DOHC Turbo,6,Gasoline,10,9-Speed Automatic,Base,SUV,4,Blue,Black,All-wheel Drive
2024 Mazda CX-90 PHEV Premium,Mazda,CX-90 PHEV,2024,56079,16V GDI DOHC Hybrid,4,Hybrid,0,8-Speed Automatic,Premium,SUV,4,Rhodium White Metallic,Black,All-wheel Drive
2024 Ford F-350 XL,Ford,F-350,2024,52263,"8 variable valve control, regular unleaded, engine with 4",8,Gasoline,10,10-Speed Automatic,XL,Pickup Truck,2,Race Red,Medium Earth Gray,Four-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,46835,16V MPFI OHV,8,Gasoline,29,8-Speed Automatic,Pursuit,SUV,4,White Knuckle Clearcoat,Black,All-wheel Drive
2024 Dodge Hornet R/T,Dodge,Hornet,2024,42991,16V GDI DOHC Turbo Hybrid,4,Hybrid,14,6-Speed Automatic,R/T,SUV,4,HOT TAMALE,Black,All-wheel Drive
2024 Jeep Grand Cherokee 4xe Trailhawk,Jeep,Grand Cherokee 4xe,2024,54910,16V GDI DOHC Turbo Hybrid,4,Hybrid,10,8-Speed Automatic,Trailhawk,SUV,4,Bright White Clearcoat,Global Black,Four-wheel Drive
2024 Audi A5 Sportback S line Premium Plus,Audi,A5 Sportback,2024,56105,16V GDI DOHC Turbo,4,Gasoline,12,7-Speed Automatic with Auto-Shift,S line Premium Plus,Hatchback,4,Navarra Blue Metallic,Black,All-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,44790,24V MPFI DOHC,6,Gasoline,32,8-Speed Automatic,Pursuit,SUV,4,DB Black Crystal Clearcoat,Black,All-wheel Drive
2024 Chevrolet Trailblazer RS,Chevrolet,Trailblazer,2024,32580,"1.3L I-3 gasoline direct injection, DOHC, variable valve",3,Gasoline,0,9-Speed Automatic,RS,SUV,4,Crimson Metallic,Jet Black w/Red Accents,All-wheel Drive
2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,2024,34330,16V PDI DOHC,4,Gasoline,11,8-Speed Automatic,2.5L SEL,Pickup Truck,4,Atlas,Gray,All-wheel Drive
2024 Dodge Hornet GT AWD,Dodge,Hornet,2024,37430,"ne 2L I-4 gasoline direct injection, DOHC, variable valve",4,Gasoline,9,9-Speed A/T,GT AWD,SUV,4,Blu Bayou,Black,All-wheel Drive
2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,2024,42015,16V PDI DOHC Turbo,4,Gasoline,1,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4,Blue Stone,Black,All-wheel Drive
2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,2024,32925,16V PDI DOHC,4,Gasoline,1,8-Speed Automatic,2.5L SEL,Pickup Truck,4,Blue Stone,Black,All-wheel Drive
2024 Jeep Wrangler 4xe Sahara,Jeep,Wrangler 4xe,2024,57870,16V GDI DOHC Turbo Hybrid,4,Hybrid,5,8-Speed Automatic,Sahara,SUV,4,Pearlcoat,Black,Four-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,28265,16V GDI DOHC Turbo,4,Gasoline,11,8-Speed Automatic,Latitude,SUV,4,Bright White Clearcoat,Black,Four-wheel Drive
2024 Volkswagen Taos 1.5T SE,Volkswagen,Taos,2024,30618,16V GDI DOHC Turbo,4,Gasoline,7,7-Speed DSGA? Automatic w/ 4MO,1.5T SE,SUV,4,Pure White,Gray,All-wheel Drive
2024 Ford Escape Active,Ford,Escape,2024,31985,"t 1.5L I-3 port/direct injection, DOHC, Ti-VCT variable v",3,Gasoline,2,8-Speed Automatic,Active,SUV,4,Carbonized Gray Metallic,Ebony Black,Front-wheel Drive
2024 Ford Bronco Sport Outer Banks,Ford,Bronco Sport,2024,35210,oBoost,3,Gasoline,0,8-Speed Automatic,Outer Banks,SUV,4,Shadow Black,Ebony/Roast,Four-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,31721,16V GDI DOHC Turbo,4,Gasoline,0,8-Speed Automatic,Latitude,SUV,4,Bright White Clearcoat,Black,Four-wheel Drive
2024 Dodge Durango GT,Dodge,Durango,2024,44852,24V MPFI DOHC,6,Gasoline,13,8-Speed Automatic,GT,SUV,4,Vapor Gray,Black,All-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,46835,16V MPFI OHV,8,Gasoline,34,8-Speed Automatic,Pursuit,SUV,4,DB Black Crystal Clearcoat,Black,All-wheel Drive
2024 Jeep Grand Cherokee L Laredo,Jeep,Grand Cherokee L,2024,39370,24V VVT,6,Gasoline,0,8-Speed Automatic,Laredo,SUV,4,Bright White Clearcoat,Black,Four-wheel Drive
2024 Dodge Hornet R/T,Dodge,Hornet,2024,45844,16V GDI DOHC Turbo Hybrid,4,Hybrid,1,6-Speed Automatic,R/T,SUV,4,Gray,Black,All-wheel Drive
2024 Jeep Wagoneer L Series II,Jeep,Wagoneer L,2024,78543,24V GDI DOHC Twin Turbo,6,Gasoline,16,8-Speed Automatic,Series II,SUV,4,Riverrock Green,Global Black,Four-wheel Drive
2024 Hyundai Elantra HEV Blue,Hyundai,Elantra HEV,2024,27080,".6L I-4 gasoline direct injection, DOHC, D-CVVT variable",4,Hybrid,13,Automatic,Blue,Sedan,4,Serenity White,Medium Gray,Front-wheel Drive
2024 RAM 3500 Laramie Crew Cab 4x4 8' Box,RAM,3500,2024,83940,"6.7L I-6 diesel direct injection, VVT intercooled turbo,",6,Diesel,6,Automatic,Laramie Crew Cab 4x4 8&#39; Box,Pickup Truck,4,Patriot Blue Pearlcoat,Black,Four-wheel Drive
2024 Volkswagen Atlas Cross Sport 2.0T SEL R-Line,Volkswagen,Atlas Cross Sport,2024,48541,16V GDI DOHC Turbo,4,Gasoline,10,8-Speed Automatic,2.0T SEL R-Line,SUV,4,Silver Bird Metallic,Mauro Brown,All-wheel Drive
2024 RAM 3500 Laramie Crew Cab 4x4 8' Box,RAM,3500,2024,81036,"High Output 6.7L I-6 diesel direct injection, VVT interc",6,Diesel,0,Automatic,Laramie Crew Cab 4x4 8&#39; Box,Pickup Truck,4,White,Black,Four-wheel Drive
2024 Mazda CX-90 PHEV Premium,Mazda,CX-90 PHEV,2024,54949,DOHC 16V LEV3-SULEV30,4,PHEV Hybrid Fuel,8,Automatic,Premium,SUV,4,Soul,Black,All-wheel Drive
2024 RAM 3500 Tradesman/SLT/Laramie/Limited,RAM,3500,2024,67562,"6.7L I-6 diesel direct injection, VVT intercooled turbo,",6,Diesel,13,Automatic,Tradesman/SLT/Laramie/Limited,Pickup Truck,4,White,Black Interior Color,Four-wheel Drive
2024 Mazda CX-90 PHEV Premium Plus,Mazda,CX-90 PHEV,2024,58399,DOHC 16V LEV3-SULEV30,4,PHEV Hybrid Fuel,4,Automatic,Premium Plus,SUV,4,Rhodium White Premium,Black,All-wheel Drive
2024 Lexus RX 500h F SPORT PERFORMANCE,Lexus,RX 500h,2024,73270,16V PDI DOHC Turbo Hybrid,4,Hybrid,21,6-Speed Automatic,F SPORT PERFORMANCE,SUV,4,Caviar,Black,All-wheel Drive
2024 RAM 3500 Laramie Mega Cab 4x4 6'4' Box,RAM,3500,2024,89040,"6.7L I-6 diesel direct injection, VVT intercooled turbo,",6,Diesel,5,Aisin 6-Speed Automatic,Laramie Mega Cab 4x4 6&#39;4&#39; Box,Pickup Truck,4,Pearl White,Black,Four-wheel Drive
2024 Chevrolet Silverado 1500 LT Trail Boss,Chevrolet,Silverado 1500,2024,65175,24V DDI DOHC Turbo Diesel,6,Diesel,0,Automatic,LT Trail Boss,Pickup Truck,4,Slate Gray Metallic,Jet Black,Four-wheel Drive
2024 Nissan Versa 1.6 SR,Nissan,Versa,2024,20389,16V MPFI DOHC,4,Gasoline,11,Automatic CVT,1.6 SR,Sedan,4,Gun Metallic,Gray,Front-wheel Drive
2024 Mazda CX-90 PHEV Preferred,Mazda,CX-90 PHEV,2024,50599,DOHC 16V LEV3-SULEV30,4,PHEV Hybrid Fuel,4,Automatic,Preferred,SUV,4,Rhodium White Premium,Greige,All-wheel Drive
2024 Kia Sportage EX,Kia,Sportage,2024,31190,16V PDI DOHC,4,Gasoline,10,8-Speed Automatic,EX,SUV,4,Glacial White Pearl,Black,Front-wheel Drive
2024 Hyundai Tucson Hybrid SEL Convenience,Hyundai,Tucson Hybrid,2024,35404,16V GDI DOHC Turbo Hybrid,4,Hybrid,10,6-Speed Automatic,SEL Convenience,SUV,4,White,Black,All-wheel Drive
2024 Hyundai Tucson Hybrid N Line,Hyundai,Tucson Hybrid,2024,35656,16V GDI DOHC Turbo Hybrid,4,Hybrid,9,6-Speed Automatic,N Line,SUV,4,Titanium Gray,Black,All-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,32660,16V GDI DOHC Turbo,4,Gasoline,9,8-Speed Automatic,Latitude,SUV,4,Bright White Clearcoat,Black,Four-wheel Drive
2024 Jeep Wrangler 4xe Rubicon,Jeep,Wrangler 4xe,2024,61860,16V GDI DOHC Turbo Hybrid,4,Hybrid,5,8-Speed Automatic,Rubicon,SUV,4,Anvil Clearcoat,Black,Four-wheel Drive
2024 Nissan Kicks SR,Nissan,Kicks,2024,26600,"4 DOHC, CVTCS variable valve control, regular unleaded, e",4,Gasoline,15,CVT,SR,SUV,4,Scarlet Ember Tintcoat,Charcoal,Front-wheel Drive
2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,2024,37325,16V PDI DOHC,4,Gasoline,1,8-Speed Automatic,2.5L SEL,Pickup Truck,4,Sage Gray,Gray,All-wheel Drive
2024 Jeep Grand Cherokee Limited,Jeep,Grand Cherokee,2024,52642,24V MPFI DOHC,6,Gasoline,6,8-Speed Automatic,Limited,SUV,4,Bright White Clearcoat,Global Black,Four-wheel Drive
2024 Jeep Compass Limited,Jeep,Compass,2024,40235,16V GDI DOHC Turbo,4,Gasoline,10,8-Speed Automatic,Limited,SUV,4,Sting Gray Clearcoat,Black,Four-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,46835,16V MPFI OHV,8,Gasoline,5,8-Speed Automatic,Pursuit,SUV,4,DB Black Crystal Clearcoat,Black,All-wheel Drive
2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,2024,42064,16V PDI DOHC Turbo,4,Gasoline,1,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4,Phantom Black,Black,All-wheel Drive
2024 Hyundai Tucson Hybrid Limited,Hyundai,Tucson Hybrid,2024,39832,16V GDI DOHC Turbo Hybrid,4,Hybrid,10,6-Speed Automatic,Limited,SUV,4,Deep Sea,Black,All-wheel Drive
2024 Volkswagen Taos 1.5T SEL,Volkswagen,Taos,2024,33331,16V GDI DOHC Turbo,4,Gasoline,13,7-Speed DSGA? Automatic w/ 4MO,1.5T SEL,SUV,4,Pure White,Black,All-wheel Drive
2024 Dodge Hornet R/T Plus,Dodge,Hornet,2024,51835,16V GDI DOHC Turbo Hybrid,4,Hybrid,33,6-Speed Automatic,R/T Plus,SUV,4,8 BALL,Black,All-wheel Drive
2024 GMC Terrain Denali,GMC,Terrain,2024,44120,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,0,Automatic,Denali,SUV,4,Ebony,Jet Blk,All-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,47340,16V MPFI OHV,8,Gasoline,34,8-Speed Automatic,Pursuit,SUV,4,DB Black Crystal Clearcoat,Black,All-wheel Drive
2024 Jeep Grand Cherokee L Limited,Jeep,Grand Cherokee L,2024,54209,OHV,6,Gasoline,10,8-Speed Automatic,Limited,SUV,4,Metallic,Global Black,Four-wheel Drive
2024 RAM 3500 Laramie,RAM,3500,2024,86505,oled Turbo Diesel I-6 6.7 L/408,6,Diesel,49,Automatic,Laramie,Pickup Truck,4,Billet Silver Metallic Clearcoat,Black,Four-wheel Drive
2024 Dodge Hornet Hornet R/T Plus Eawd,Dodge,Hornet,2024,48595,"4 gasoline direct injection, DOHC, Multiair variable valv",4,Gasoline,0,6-Spd Aisin F21-250 PHEV Auto Trans,Hornet R/T Plus Eawd,SUV,4,8 Ball,Black,All-wheel Drive
2023 Mazda MX-5 Miata RF Grand Touring,Mazda,MX-5 Miata RF,2023,38040,16V GDI DOHC,4,Gasoline,3,6-Speed Automatic,Grand Touring,Convertible,2,Snowflake White Pearl,Black,Rear-wheel Drive
2024 Acura MDX Base,Acura,MDX,2024,52950,24V GDI SOHC,6,Gasoline,3,10-Speed Automatic,Base,SUV,4,Gray,,All-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,46835,16V MPFI OHV,8,Gasoline,21,8-Speed Automatic,Pursuit,SUV,4,DB Black Crystal Clearcoat,Black,All-wheel Drive
2024 Jeep Grand Cherokee L Limited,Jeep,Grand Cherokee L,2024,52567,OHV,6,Gasoline,246,8-Speed Automatic,Limited,SUV,4,Velvet Red Pearlcoat,Global Black,Four-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,47340,16V MPFI OHV,8,Gasoline,33,8-Speed Automatic,Pursuit,SUV,4,White Knuckle Clearcoat,Black,All-wheel Drive
2024 Jeep Wagoneer Series II,Jeep,Wagoneer,2024,87488,24V GDI DOHC Twin Turbo,6,Gasoline,22,8-Speed Automatic,Series II,SUV,4,Riverrock Green,Global Black,Four-wheel Drive
2024 Jeep Grand Cherokee Laredo,Jeep,Grand Cherokee,2024,44737,OHV,6,Gasoline,6,8-Speed Automatic,Laredo,SUV,4,Metallic,Global Black,Four-wheel Drive
2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,2024,41995,16V PDI DOHC Turbo,4,Gasoline,1,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4,Sage Gray,Black,All-wheel Drive
2024 Honda CR-V Hybrid Sport-L,Honda,CR-V,2024,38855,"gasoline direct injection, DOHC, i-VTEC variable valve co",4,Hybrid,6,Automatic,Hybrid Sport-L,SUV,4,Still Night Pearl,Black,Front-wheel Drive
2024 Jeep Grand Cherokee 4xe Trailhawk,Jeep,Grand Cherokee 4xe,2024,58909,"gasoline direct injection, DOHC, intercooled turbo, premi",4,Gasoline,34,Automatic,Trailhawk,SUV,4,Silver Zynith,Global Black,Four-wheel Drive
2024 RAM 2500 Big Horn,RAM,2500,2024,65350,16V MPFI OHV,8,Gasoline,0,8-Speed Automatic,Big Horn,Pickup Truck,4,Patriot Blue Pearlcoat,Black,Four-wheel Drive
2024 Jeep Grand Cherokee L Altitude,Jeep,Grand Cherokee L,2024,49411,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6,Gasoline,6,Automatic,Altitude,SUV,4,Baltic Gray Metallic Clearcoat,Global Black,Four-wheel Drive
2024 Dodge Hornet R/T Plus,Dodge,Hornet,2024,50590,16V GDI DOHC Turbo Hybrid,4,Hybrid,10,6-Speed Automatic,R/T Plus,SUV,4,8 BALL,Black,All-wheel Drive
2024 Chevrolet Silverado 2500 LT,Chevrolet,Silverado 2500,2024,70190,"6.6L V-8 diesel direct injection, intercooled turbo, die",8,Diesel,5,Automatic,LT,Pickup Truck,4,Dark Ash Metallic,Gideon/Very Dark Atmosphere,Four-wheel Drive
2024 Chevrolet Equinox LS,Chevrolet,Equinox,2024,25515,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,5,6-Speed Automatic Electronic with Overdrive,LS,SUV,4,Mosaic Black Metallic,Medium Ash Gray,Front-wheel Drive
2024 Jeep Wrangler Rubicon,Jeep,Wrangler,2024,59542,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6,Gasoline,10,Automatic,Rubicon,SUV,4,Bright White Clearcoat,Black,Four-wheel Drive
2024 RAM ProMaster 2500 High Roof,RAM,ProMaster 2500,2024,53445,24V MPFI DOHC,6,Gasoline,6,9-Speed Automatic,High Roof,Cargo Van,3,Bright Silver Clearcoat Metallic,Black,Front-wheel Drive
2024 RAM 2500 Laramie,RAM,2500,2024,79675,24V DDI OHV Turbo Diesel,6,Diesel,17,6-Speed Automatic,Laramie,Pickup Truck,4,Pearl White,Black,Four-wheel Drive
2024 GMC Sierra 3500 SLT,GMC,Sierra 3500,2024,87075,der,8,Diesel (B20 capable),9,10-Speed Shiftable Automatic,SLT,Pickup Truck,4,Sterling Metallic,Dark Walnut / Slate,Four-wheel Drive
2024 Ford Escape Active,Ford,Escape,2024,34799,12V PDI DOHC Turbo,3,Gasoline,3,8-Speed Automatic,Active,SUV,4,Carbonized Gray Metallic,Ebony,All-wheel Drive
2024 RAM 2500 Laramie,RAM,2500,2024,67125,24V DDI OHV Turbo Diesel,6,Diesel,5,6-Speed Automatic,Laramie,Pickup Truck,4,Bright White Clearcoat,Black,Four-wheel Drive
2024 Jeep Grand Cherokee L Laredo,Jeep,Grand Cherokee L,2024,46721,OHV,6,Gasoline,10,8-Speed Automatic,Laredo,SUV,4,Metallic,Global Black,Four-wheel Drive
2024 Jeep Grand Cherokee 4xe Base,Jeep,Grand Cherokee 4xe,2024,56119,16V GDI DOHC Turbo Hybrid,4,Hybrid,10,8-Speed Automatic,Base,SUV,4,Midnight Sky,Global Black,Four-wheel Drive
2024 Volkswagen Taos 1.5T SE,Volkswagen,Taos,2024,28193,16V GDI DOHC Turbo,4,Gasoline,4,8-Speed Automatic,1.5T SE,SUV,4,Deep Black Pearl Effect,Black,Front-wheel Drive
2024 Mazda CX-90 PHEV Premium Plus,Mazda,CX-90 PHEV,2024,58949,DOHC 16V LEV3-SULEV30,4,PHEV Hybrid Fuel,26,Automatic,Premium Plus,SUV,4,Artisan Red Premium,Black,All-wheel Drive
2024 Mazda CX-90 PHEV Premium,Mazda,CX-90 PHEV,2024,54949,DOHC 16V LEV3-SULEV30,4,PHEV Hybrid Fuel,9,Automatic,Premium,SUV,4,Artisan Red Premium,Black,All-wheel Drive
2024 Mazda CX-90 PHEV Premium,Mazda,CX-90 PHEV,2024,54949,DOHC 16V LEV3-SULEV30,4,PHEV Hybrid Fuel,9,Automatic,Premium,SUV,4,Red,Greige,All-wheel Drive
2024 Subaru Legacy Premium,Subaru,Legacy,2024,31042,16V GDI DOHC,4,Gasoline,5,Automatic CVT,Premium,Sedan,4,Ice Silver Metallic,Gray,All-wheel Drive
2024 Dodge Hornet GT AWD,Dodge,Hornet,2024,34000,"ne 2L I-4 gasoline direct injection, DOHC, variable valve",4,Gasoline,4440,9-speed automatic,GT AWD,SUV,4,Acapulco Gold,Black,All-wheel Drive
2024 Mazda CX-90 PHEV Premium,Mazda,CX-90 PHEV,2024,54449,DOHC 16V LEV3-SULEV30,4,PHEV Hybrid Fuel,10,Automatic,Premium,SUV,4,Sonic,Greige,All-wheel Drive
2024 Ford F-350 Lariat Super Duty,Ford,F-350,2024,77885,16V MPFI OHV,8,Gasoline,105,10-Speed Automatic,Lariat Super Duty,Pickup Truck,4,Black,Black Onyx,Four-wheel Drive
2024 Jeep Compass Latitude,Jeep,Compass,2024,31535,16V GDI DOHC Turbo,4,Gasoline,7,8-Speed Automatic,Latitude,SUV,4,Silver Zynith,Black,Four-wheel Drive
2024 Mazda CX-90 PHEV Preferred,Mazda,CX-90 PHEV,2024,50349,DOHC 16V LEV3-SULEV30,4,PHEV Hybrid Fuel,37,Automatic,Preferred,SUV,4,Jet Black Mica,Black,All-wheel Drive
2024 Acura MDX Technology,Acura,MDX,2024,56345,24V GDI SOHC,6,Gasoline,5,10-Speed Automatic,Technology,SUV,4,Gray,,Front-wheel Drive
2024 Mazda CX-90 PHEV Preferred,Mazda,CX-90 PHEV,2024,50675,16V GDI DOHC Hybrid,4,Hybrid,0,8-Speed Automatic,Preferred,SUV,4,Rhodium White Metallic,Black,All-wheel Drive
2024 RAM 3500 Tradesman,RAM,3500,2024,64516,oled Turbo Diesel I-6 6.7 L/408,6,Diesel,14,Automatic,Tradesman,Pickup Truck,4,Granite Crystal Metallic Clearcoat,Black,Four-wheel Drive
2024 Dodge Hornet GT,Dodge,Hornet,2024,36480,oled Turbo Premium Unleaded I-4 2.0 L/122,4,Gasoline,23,Automatic,GT,SUV,4,Gray Cray,Black,All-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,47340,16V MPFI OHV,8,Gasoline,33,8-Speed Automatic,Pursuit,SUV,4,White Knuckle Clearcoat,Black,All-wheel Drive
2024 Volkswagen Jetta 1.4T SE,Volkswagen,Jetta,2024,26104,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,9,8-Speed Automatic with Tiptronic,1.4T SE,Sedan,4,Pyrite Silver Metallic,Titan Black,Front-wheel Drive
2024 Dodge Hornet R/T,Dodge,Hornet,2024,42790,16V GDI DOHC Turbo Hybrid,4,Hybrid,10,6-Speed Automatic,R/T,SUV,4,Blue Steel,Black,All-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,46835,16V MPFI OHV,8,Gasoline,30,8-Speed Automatic,Pursuit,SUV,4,White Knuckle Clearcoat,Black,All-wheel Drive
2023 Dodge Durango Pursuit,Dodge,Durango,2023,47340,16V MPFI OHV,8,Gasoline,35,8-Speed Automatic,Pursuit,SUV,4,White Knuckle Clearcoat,Black,All-wheel Drive
2024 BMW M235 Gran Coupe i xDrive,BMW,M235 Gran Coupe,2024,54545,16V GDI DOHC Turbo,4,Gasoline,10,8-Speed Automatic,i xDrive,Sedan,4,Black Sapphire Metallic,Black,All-wheel Drive
2024 RAM 3500 Big Horn,RAM,3500,2024,65774,24V DDI OHV Turbo Diesel,6,Diesel,13,6-Speed Automatic,Big Horn,Pickup Truck,4,Billet Silver Metallic Clearcoat,Black,Four-wheel Drive
2024 Nissan Rogue SV,Nissan,Rogue,2024,34305,"o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl",3,Gasoline,4,Automatic,SV,SUV,4,Deep Ocean Blue Pearl,Charcoal,All-wheel Drive
2024 Dodge Hornet R/T Plus,Dodge,Hornet,2024,44621,16V GDI DOHC Turbo Hybrid,4,Hybrid,0,6-Speed Automatic,R/T Plus,SUV,4,Q BALL,Black,All-wheel Drive
2024 Dodge Hornet R/T,Dodge,Hornet,2024,39763,16V GDI DOHC Turbo Hybrid,4,Hybrid,0,6-Speed Automatic,R/T,SUV,4,Gold,Black,All-wheel Drive
2024 RAM 3500 Tradesman Crew Cab 4x4 8' Box,RAM,3500,2024,67237,"High Output 6.7L I-6 diesel direct injection, VVT interc",6,Diesel,6,Automatic,Tradesman Crew Cab 4x4 8&#39; Box,Pickup Truck,4,Granite Crystal Metallic Clearcoat,Black Interior Color,Four-wheel Drive
2024 Honda CR-V Hybrid Sport,Honda,CR-V Hybrid,2024,36900,16V GDI DOHC Hybrid,4,Hybrid,1,Automatic CVT,Sport,SUV,4,Lunar Silver Metallic,Black,All-wheel Drive
2024 Ford Expedition Limited,Ford,Expedition,2024,90350,24V PDI DOHC Twin Turbo,6,Gasoline,89,10-Speed Automatic,Limited,SUV,4,Star White,Black Onyx,Four-wheel Drive
2024 Ford Expedition Timberline,Ford,Expedition,2024,83910,24V PDI DOHC Twin Turbo,6,Gasoline,65,10-Speed Automatic,Timberline,SUV,4,Green,Black Onyx,Four-wheel Drive
2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,2024,49944,16V GDI OHV,8,Gasoline,2,Automatic,LT,Pickup Truck,4,Radiant Red,Jet Black,Four-wheel Drive
2024 Kia Sportage S,Kia,Sportage,2024,32433,"4 port/direct injection, DOHC, CVVT variable valve contro",4,Gasoline,0,8-Speed Automatic,S,SUV,4,White Pearl,Black,All-wheel Drive
2024 Kia Sportage SX,Kia,Sportage,2024,33095,16V PDI DOHC,4,Gasoline,10,8-Speed Automatic,SX,SUV,4,Ebony Black,Black,Front-wheel Drive
2024 Kia Sportage X-Pro Prestige,Kia,Sportage,2024,39990,16V PDI DOHC,4,Gasoline,10,8-Speed Automatic,X-Pro Prestige,SUV,4,Glacial White Pearl,Black,All-wheel Drive
2024 Land Rover Range Rover Evoque Dynamic SE,Land Rover,Range Rover Evoque,2024,62145,16V GDI DOHC Turbo,4,Gasoline,19,9-Speed Automatic,Dynamic SE,SUV,4,Arroios Grey,Ebony,All-wheel Drive
2024 Honda Odyssey Elite,Honda,Odyssey,2024,48364,24V GDI SOHC,6,Gasoline,4,10-Speed Automatic,Elite,Passenger Van,4,Lunar Silver Metallic,Gray,Front-wheel Drive
2024 RAM 2500 Longhorn,RAM,2500,2024,83374,oled Turbo Diesel I-6 6.7 L/408,6,Diesel,5,Automatic,Longhorn,Pickup Truck,4,Diamond Black Crystal Pearlcoat,Lt Mountain Brown/Brown,Four-wheel Drive
2024 Chevrolet Equinox FWD RS,Chevrolet,Equinox,2024,31222,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,2,6-Speed Automatic Electronic with Overdrive,FWD RS,SUV,4,Summit White,Jet Black With Red Accents,Front-wheel Drive
2024 GMC Sierra 2500 Denali,GMC,Sierra 2500,2024,85845,32V DDI OHV Turbo Diesel,8,Diesel,2,10-Speed Automatic,Denali,Pickup Truck,4,White Frost Tri-Coat,Jet Black,Four-wheel Drive
